strasse;hausnummer;anzahl bussgelder
PANTALEONSWALL;65-75;276
JAKOBSTR.;56-58;276
BENESISSTR.;20;274
VENLOER STR.;401;274
RICHARTZSTR.;2-4;273
DEUTZER FREIHEIT;49;273
ALSENSTR.;;273
GUTS-MUTHS-WEG;;273
AN DER RECHTSCHULE;2;273
HOLWEIDER STR.;;272
FLEISCHMENGERGASSE;57;272
SPIESERGASSE;;272
PETERSTR.;3;272
WINTERBERGER STR.;;271
BURGENLANDSTR.;;271
AACHENER STR.;451;271
DRUSUSGASSE;;271
KONRAD-ADENAUER-UFER;7;271
FRÖBELSTR.;2;270
JAKOBSTR.;4;270
APPELLHOFPLATZ;9;270
URSULAPLATZ;;270
SIMARPLATZ;;269
HAHNENSTR.;16-16A;269
FRANKFURTER STR.;38;269
GUDRUNSTR. RO;4;269
BLAUBACH;;268
AN DEN DOMINIKANERN;11-27;268
STEPRATHSTR.;;268
ZÜLPICHER WALL;5;267
ROISDORFER STR.;;267
STÜTTGERHOFWEG;;267
NEUMARKT;24;267
LEONHARD-TIETZ-STR.;;267
ERLANGER STR.;;266
AM HOF;50;266
LUNGENGASSE;35;266
VORSTERSTR.;65A;266
THÜRMCHENSWALL;;266
OSTSTR.;9-11;265
PALMSTR.;34;265
BALTHASARSTR.;18;265
DEUTZER FREIHEIT;103;265
AGRIPPASTR.;87-93;265
HOHENSTAUFENRING;59;265
BARBARASTR. RO;5-9;265
HANSARING;40-50;265
ELSTERGASSE;;264
LUDWIG-GIES-STR.;1;264
FLANDRISCHE STR.;;264
BOLZENGASSE;;264
HOHENSTAUFENRING;4-6;264
CHRISTIAN-SCHULT-STR.;;264
KEMPENER STR.;53-55;264
MENGELBERGSTR.;;264
RICHMODSTR.;;264
WILHELMSTR. RO;74;263
BENESISSTR.;18;263
CÄCILIENSTR.;42-44;263
BERTHA-SANDER-STR.;3;262
MAURITIUSSTEINWEG;;262
NEUSSER STR.;397-399;262
VORSTERSTR.;23;262
NEUMARKT;41-43;262
STUPPSTR.;22;261
STAMMSTR.;99;261
RITTERSTR.;17;261
KRONENGASSE;21;261
ALTER MÜHLENWEG;;260
HERBERT-LIEBERTZ-WEG;;260
HUHNSGASSE;12-14;260
NEUSSER STR.;108;260
UNTER KAHLENHAUSEN;;260
VENLOER STR.;248;259
RICHARTZSTR.;10;259
DEUTZER FREIHEIT;90;259
AN DER MÜNZE;;259
FRANKFURTER STR.;19;258
KUPFERGASSE PO;;258
KALKER HAUPTSTR.;148;258
EINTRACHTSTR.;;257
UNIVERSITÄTSSTR.;24;257
MERKENSSTR.;;256
MITTELSTR.;12-14;256
EICHENDORFFSTR.;;256
ERNST-WILHELM-NAY-STR.;42;255
RICHARTZSTR.;12;255
HASELBERGSTR.;;254
KALKER HAUPTSTR.;181;254
HÜLCHRATHER STR.;;254
KOMÖDIENSTR.;37;254
HEIDEMANNSTR.;;253
KEPLERSTR.;1;253
CÄCILIENSTR.;46;253
ZOLLSTOCKGÜRTEL;;253
ROBERTSTR.;;253
ZEUGHAUSSTR.;;252
GLASHÜTTENSTR.;;252
GILBACHSTR.;29-31;252
LUISE-STRAUSS-ERNST-STR.;;251
CRANACHSTR.;;251
RATHENAUPLATZ;23;251
MYLIUSSTR.;24;251
PIPINSTR.;16;250
ALTEBURGER STR.;16;250
GEREONSWALL;;249
KOBURGER PLATZ;6;249
BERTHA-SANDER-STR.;57;249
MERTENER STR.;;249
WILHELMSTR.;;248
KASPARSTR.;1;248
HERMESGASSE;;248
AN DEN DOMINIKANERN;6-8;248
ADALBERTSTR.;15;248
HACKETÄUERSTR.;27;247
BRÜCKENAUER STR.;;247
ROONSTR.;;247
RADERTHALGÜRTEL;;247
THEODOR-HEUSS-RING;9;247
RICHMODSTR.;29;246
KAMEKESTR.;3;246
IN DER HÖHLE;;246
JÜNKERATHER STR.;;246
APOSTELNSTR.;13;246
KEMPENER STR.;26;245
LINDENTHALGÜRTEL;;245
LOKOMOTIVSTR.;124;245
THIEBOLDSGASSE;136;245
WALDSTR.;;245
STORMSTR.;;245
RATHENAUPLATZ;7;244
KARTÄUSERWALL;40;244
LENAUSTR.;;244
AM HUSHOLZ;;243
JOSEPHSKIRCHSTR.;;243
HOHENZOLLERNRING;50;243
HOMBURGER STR.;;243
MARZELLENSTR.;;243
YITZHAK-RABIN-PLATZ;;243
SCHILLINGSROTTER STR.;;242
BIBERSTR.;;242
BOCHUMER STR.;;242
KEMPENER STR.;79;241
LIEGNITZSTR.;7;241
DEUTZER FREIHEIT;114;241
AACHENER STR.;445-449;241
MOLTKESTR.;73-75;241
SONDERBURGER STR.;;241
REMSCHEIDER STR.;88;241
SCHAEVENSTR.;1A;240
WEISSHAUSSTR.;30;240
SIEVERSSTR.;36;240
MANTEUFFELSTR.;9;239
ROLSHOVER STR.;;239
GOTENRING;6;239
KENDENICHER STR.;;239
BISMARCKSTR.;49;238
DAGOBERTSTR.;3;237
BRÜCKENSTR. RO;106;237
LUDWIGSTR.;6;237
HANS-WILLY-MERTENS-STR.;2;237
LONGERICHER HAUPTSTR.;;237
HERZOGSTR.;32;237
EULENBERGSTR.;2;237
AUF DEM BERLICH;1;237
HOHENZOLLERNRING;89-93;236
ENGELBERTSTR.;33-35;236
CHRISTINASTR.;62-64;236
DÜSTEMICHSTR.;;236
NEUSSER STR.;421;236
WEILERWEG;;236
VENLOER STR.;425B;236
MOHRENSTR.;;236
WESTERWALDSTR.;;235
SIEGBURGER STR.;355;235
DÖBRABERGSTR.;;235
HOMARSTR.;10;235
EICHSTR.;;234
HASELNUSSWEG;34;234
NEVEN-DU MONT-STR.;1A-3E;234
OSTMERHEIMER STR.;;233
OSTSTR.;11-13;233
BARBARASTR.;;233
DREIKÖNIGENSTR.;;233
HELENENSTR.;13;233
KRIELER STR.;100;232
NEUSSER STR.;30-32;232
SIEGBURGER STR.;368;232
UNIVERSITÄTSSTR.;;232
WILHELMSTR.;87;232
REISCHPLATZ;;231
MANTEUFFELSTR.;;231
ALTEBURGER STR.;2;231
ANNASTR.;75;231
HÖHENFELDER MAUSPFAD;;231
BERTRAMSTR.;;231
BARBARASTR. RO;11;230
VINCENZSTR.;27;230
RADERBERGGÜRTEL;;230
OTTOSTR.;;230
MOLTKESTR.;71;229
HASELNUSSWEG;36;229
JAKOBSTR.;58;229
KAPELLENSTR.;13;229
